,area
279554,950.003904
555741,4323.557376
79118,1808.559232
522692,1035.950976
216755,4265.389056
399711,909.22368
279587,1064.666368
226574,254.66048
483619,458.892576
378537,15260.413952
317905,3972.467456
199722,149.163728
387769,85.758256
272678,1457.27808
229021,236.220096
221201,7.006554
465190,1253.645056
522792,2179.16288
432794,3183.385344
504104,1992.549248
350386,903.548288
203777,25708.296192
326673,1977.587968
317961,4866.557952
202584,2518.095872
273178,8403.710976
412870,1081.989632
323529,583.410816
463732,2292.858112
221500,520.801888
367916,18272.466944
226541,157.553328
447887,567.155008
197517,9353.86112
432886,4430.814208
178416,906.597952
522855,2788.463872
434365,1667.39136
272942,4292.501504
318272,11114.479616
367769,16376.984576
486916,1370.867968
74725,225.889632
104818,479.798208
314529,1302.323712
270936,309.325312
292251,552.337216
367593,13293.555712
418967,119.922608
412946,2174.928896
179425,1292.678272
406874,2205.947904
387745,38.57168
426130,4680.421888
326674,1978.306048
272783,2104.806144
448250,1098.540928
204046,34759.778304
114284,1380.355584
426239,5923.303936
522980,4339.89632
275929,960.054208
92050,1920.458624
397674,2301.662976
509679,772.110336
368142,32646.715392
216572,1582.605056
503998,1045.057088
78279,223.009552
278516,1041.485184
463834,3376.28288
326618,1738.181888
504030,1271.54816
197256,1491.486976
203851,30436.661248
216714,3430.08256
367813,16813.410304
110818,161.754784
378268,10992.91136
522951,4048.087296
217531,201.981376
334449,4294.786048
374994,1356.14656
92010,1403.790336
368052,20079.067136
434478,2359.521536
450755,695.095168
368123,32330.047488
465030,4122.127104
273761,2223.793664
367697,15596.281856
83159,437.095264
209558,49.579156
98104,1975.536128
230973,21.648956
318079,7237.885952
318225,8462.736896
487052,3990.19008
487254,6421.21216
285449,4015.02464
227265,66.285644
368221,729.885376
258321,746.333824
378371,14245.710848
323592,777.678976
203920,32040.441856
273299,11221.188608
425876,2724.580096
434514,4031.774976
425748,897.705984
240462,1903.48032
555865,5921.777152
437890,1103.936896
157405,2323.057152
431052,87.303728
426049,4094.75072
255051,147.086736
309414,769.58304
197446,8898.548736
245378,183.568768
143605,235.235488
230601,484.81344
228998,153.742192
203941,32441.085952
204188,36473.847808
277520,519.344512
313504,814.141184
178160,1138.539392
162846,1194.19712
108201,967.409088
157543,7309.865984
334282,1880.006144
318208,8071.849984
378559,16329.946112
553137,2208.279296
367567,12210.371584
132569,859.420032
197506,9109.67808
