,Q
2002-03-01 01:00:00,1e-06
2002-03-01 02:00:00,0.0005060363
2002-03-01 03:00:00,0.001185388
2002-03-01 04:00:00,0.002151321
2002-03-01 05:00:00,0.003544157
2002-03-01 06:00:00,0.005492717
2002-03-01 07:00:00,0.008113051
2002-03-01 08:00:00,0.01148511
2002-03-01 09:00:00,0.01563791
2002-03-01 10:00:00,0.02054439
2002-03-01 11:00:00,0.02613095
2002-03-01 12:00:00,0.03230192
2002-03-01 13:00:00,0.03896163
2002-03-01 14:00:00,0.04602853
2002-03-01 15:00:00,0.05344086
2002-03-01 16:00:00,0.06115746
2002-03-01 17:00:00,0.06915937
2002-03-01 18:00:00,0.07745191
2002-03-01 19:00:00,0.08606798
2002-03-01 20:00:00,0.09506918
2002-03-01 21:00:00,0.1045426
2002-03-01 22:00:00,0.1145915
2002-03-01 23:00:00,0.125322
2002-03-02 00:00:00,0.1368256
2002-03-02 01:00:00,0.1491652
2002-03-02 02:00:00,0.1623648
2002-03-02 03:00:00,0.1764057
2002-03-02 04:00:00,0.1912306
2002-03-02 05:00:00,0.2067512
2002-03-02 06:00:00,0.2228618
2002-03-02 07:00:00,0.23945
2002-03-02 08:00:00,0.2564095
2002-03-02 09:00:00,0.2736487
2002-03-02 10:00:00,0.2910994
2002-03-02 11:00:00,0.3087591
2002-03-02 12:00:00,0.3267302
2002-03-02 13:00:00,0.3451302
2002-03-02 14:00:00,0.3640141
2002-03-02 15:00:00,0.3833829
2002-03-02 16:00:00,0.4032265
2002-03-02 17:00:00,0.4235584
2002-03-02 18:00:00,0.4444372
2002-03-02 19:00:00,0.4659768
2002-03-02 20:00:00,0.4883481
2002-03-02 21:00:00,0.5117697
2002-03-02 22:00:00,0.5364903
2002-03-02 23:00:00,0.5627645
2002-03-03 00:00:00,0.5908278
2002-03-03 01:00:00,0.6208748
2002-03-03 02:00:00,0.6530424
2002-03-03 03:00:00,0.6874005
2002-03-03 04:00:00,0.7239489
2002-03-03 05:00:00,0.762624
2002-03-03 06:00:00,0.803308
2002-03-03 07:00:00,0.8458439
2002-03-03 08:00:00,0.8900517
2002-03-03 09:00:00,0.9357449
2002-03-03 10:00:00,0.9827446
2002-03-03 11:00:00,1.030891
2002-03-03 12:00:00,1.080051
2002-03-03 13:00:00,1.130124
2002-03-03 14:00:00,1.181037
2002-03-03 15:00:00,1.23275
2002-03-03 16:00:00,1.285245
2002-03-03 17:00:00,1.338522
2002-03-03 18:00:00,1.392592
2002-03-03 19:00:00,1.447474
2002-03-03 20:00:00,1.503181
2002-03-03 21:00:00,1.559723
2002-03-03 22:00:00,1.617098
2002-03-03 23:00:00,1.675294
2002-03-04 00:00:00,1.734282
2002-03-04 01:00:00,1.79402
2002-03-04 02:00:00,1.854454
2002-03-04 03:00:00,1.915518
2002-03-04 04:00:00,1.977139
2002-03-04 05:00:00,2.039237
2002-03-04 06:00:00,2.101732
2002-03-04 07:00:00,2.164549
2002-03-04 08:00:00,2.227615
2002-03-04 09:00:00,2.290868
2002-03-04 10:00:00,2.354259
2002-03-04 11:00:00,2.417753
2002-03-04 12:00:00,2.481334
2002-03-04 13:00:00,2.545003
2002-03-04 14:00:00,2.608782
2002-03-04 15:00:00,2.672711
2002-03-04 16:00:00,2.736855
2002-03-04 17:00:00,2.801294
2002-03-04 18:00:00,2.866128
2002-03-04 19:00:00,2.931471
2002-03-04 20:00:00,2.99745
2002-03-04 21:00:00,3.064199
2002-03-04 22:00:00,3.131852
2002-03-04 23:00:00,3.20054
2002-03-05 00:00:00,3.270382
2002-03-05 01:00:00,3.34148
2002-03-05 02:00:00,3.413907
2002-03-05 03:00:00,3.487708
2002-03-05 04:00:00,3.562887
2002-03-05 05:00:00,3.639409
2002-03-05 06:00:00,3.717194
2002-03-05 07:00:00,3.796118
2002-03-05 08:00:00,3.876017
2002-03-05 09:00:00,3.956689
2002-03-05 10:00:00,4.037902
2002-03-05 11:00:00,4.119403
2002-03-05 12:00:00,4.200923
2002-03-05 13:00:00,4.282194
2002-03-05 14:00:00,4.362949
2002-03-05 15:00:00,4.442943
2002-03-05 16:00:00,4.521948
2002-03-05 17:00:00,4.599771
2002-03-05 18:00:00,4.676252
2002-03-05 19:00:00,4.75127
2002-03-05 20:00:00,4.824744
2002-03-05 21:00:00,4.896636
2002-03-05 22:00:00,4.966947
2002-03-05 23:00:00,5.035716
2002-03-06 00:00:00,5.103018
2002-03-06 01:00:00,5.168965
2002-03-06 02:00:00,5.233698
2002-03-06 03:00:00,5.297385
2002-03-06 04:00:00,5.360223
2002-03-06 05:00:00,5.422435
2002-03-06 06:00:00,5.484265
2002-03-06 07:00:00,5.545986
2002-03-06 08:00:00,5.607893
2002-03-06 09:00:00,5.670305
2002-03-06 10:00:00,5.733572
2002-03-06 11:00:00,5.798067
2002-03-06 12:00:00,5.864192
2002-03-06 13:00:00,5.932376
2002-03-06 14:00:00,6.003072
2002-03-06 15:00:00,6.076752
2002-03-06 16:00:00,6.153901
2002-03-06 17:00:00,6.23501
2002-03-06 18:00:00,6.32056
2002-03-06 19:00:00,6.411011
2002-03-06 20:00:00,6.506788
2002-03-06 21:00:00,6.608258
2002-03-06 22:00:00,6.715717
2002-03-06 23:00:00,6.829375
2002-03-07 00:00:00,6.94934
2002-03-07 01:00:00,7.07561
2002-03-07 02:00:00,7.20807
2002-03-07 03:00:00,7.346498
2002-03-07 04:00:00,7.490567
2002-03-07 05:00:00,7.639867
2002-03-07 06:00:00,7.793921
2002-03-07 07:00:00,7.952211
2002-03-07 08:00:00,8.114202
2002-03-07 09:00:00,8.279369
2002-03-07 10:00:00,8.447218
2002-03-07 11:00:00,8.617307
2002-03-07 12:00:00,8.789256
2002-03-07 13:00:00,8.962758
2002-03-07 14:00:00,9.137583
2002-03-07 15:00:00,9.313566
2002-03-07 16:00:00,9.490609
2002-03-07 17:00:00,9.668661
2002-03-07 18:00:00,9.847706
2002-03-07 19:00:00,10.02775
2002-03-07 20:00:00,10.2088
2002-03-07 21:00:00,10.39085
