,Q
2002-03-01 01:00:00,1e-06
2002-03-01 02:00:00,0.0004422848
2002-03-01 03:00:00,0.00107377
2002-03-01 04:00:00,0.002034217
2002-03-01 05:00:00,0.003457519
2002-03-01 06:00:00,0.005468609
2002-03-01 07:00:00,0.008181311
2002-03-01 08:00:00,0.01167291
2002-03-01 09:00:00,0.0159859
2002-03-01 10:00:00,0.02114168
2002-03-01 11:00:00,0.02716242
2002-03-01 12:00:00,0.03408534
2002-03-01 13:00:00,0.04195857
2002-03-01 14:00:00,0.05081898
2002-03-01 15:00:00,0.06065726
2002-03-01 16:00:00,0.07138643
2002-03-01 17:00:00,0.08282486
2002-03-01 18:00:00,0.09471002
2002-03-01 19:00:00,0.1067337
2002-03-01 20:00:00,0.1185898
2002-03-01 21:00:00,0.1300181
2002-03-01 22:00:00,0.1408339
2002-03-01 23:00:00,0.1509402
2002-03-02 00:00:00,0.1603267
2002-03-02 01:00:00,0.1690602
2002-03-02 02:00:00,0.1791069
2002-03-02 03:00:00,0.1929914
2002-03-02 04:00:00,0.2117126
2002-03-02 05:00:00,0.2353746
2002-03-02 06:00:00,0.2638881
2002-03-02 07:00:00,0.2957191
2002-03-02 08:00:00,0.329114
2002-03-02 09:00:00,0.3629005
2002-03-02 10:00:00,0.3963743
2002-03-02 11:00:00,0.4291907
2002-03-02 12:00:00,0.4608183
2002-03-02 13:00:00,0.4904025
2002-03-02 14:00:00,0.5170156
2002-03-02 15:00:00,0.5418963
2002-03-02 16:00:00,0.5644767
2002-03-02 17:00:00,0.5843381
2002-03-02 18:00:00,0.6022313
2002-03-02 19:00:00,0.619199
2002-03-02 20:00:00,0.636709
2002-03-02 21:00:00,0.6562234
2002-03-02 22:00:00,0.6789317
2002-03-02 23:00:00,0.7055965
2002-03-03 00:00:00,0.736469
2002-03-03 01:00:00,0.7712711
2002-03-03 02:00:00,0.8092722
2002-03-03 03:00:00,0.8494543
2002-03-03 04:00:00,0.8907211
2002-03-03 05:00:00,0.9320971
2002-03-03 06:00:00,0.9728664
2002-03-03 07:00:00,1.012635
2002-03-03 08:00:00,1.051319
2002-03-03 09:00:00,1.089076
2002-03-03 10:00:00,1.126205
2002-03-03 11:00:00,1.163041
2002-03-03 12:00:00,1.199851
2002-03-03 13:00:00,1.236764
2002-03-03 14:00:00,1.273721
2002-03-03 15:00:00,1.310472
2002-03-03 16:00:00,1.346596
2002-03-03 17:00:00,1.381557
2002-03-03 18:00:00,1.414765
2002-03-03 19:00:00,1.445651
2002-03-03 20:00:00,1.473725
2002-03-03 21:00:00,1.498622
2002-03-03 22:00:00,1.520137
2002-03-03 23:00:00,1.538226
2002-03-04 00:00:00,1.553008
2002-03-04 01:00:00,1.564751
2002-03-04 02:00:00,1.573846
2002-03-04 03:00:00,1.580798
2002-03-04 04:00:00,1.586203
2002-03-04 05:00:00,1.590743
2002-03-04 06:00:00,1.595187
2002-03-04 07:00:00,1.600396
2002-03-04 08:00:00,1.607338
2002-03-04 09:00:00,1.617109
