usgs,link
05483450,279554
05476590,555741
06898000,79118
05421890,258636
05457000,522692
06808820,216755
05412400,399711
05483600,279587
05454300,226574
05484600,197489
05411600,483619
05481650,378537
05451500,317905
05422600,199722
06599950,387769
05387490,462933
05471000,272678
05485640,229021
05464942,221201
06805850,191552
05459500,465190
05457505,522792
05460400,432794
05482430,334360
05476000,555608
05455010,216095
05388250,504104
05463000,350386
05475350,555539
05485500,203777
06602400,326673
05451770,317961
05484000,202584
06609560,264985
05421682,326825
05473065,273178
05480820,412870
05451210,323529
05455230,207755
05478265,463732
05422560,199682
05455100,221500
05460000,445204
05464780,367916
05454220,226541
05389000,447887
05484900,197517
05462000,432886
05486000,178416
05457700,522855
05411850,434365
05471500,272942
05459490,459719
05455700,318272
05464420,367769
06604440,486916
05494300,74725
05388310,505703
06903400,104818
05418400,314529
05451700,270936
05480080,372747
05470500,292251
05464000,367593
06811875,78897
05411900,418967
05481000,412946
05486490,179425
05458900,406874
06599900,387745
05421760,426130
06607500,326674
05471050,272783
05414400,360958
06605000,448250
05489500,204046
05473400,114284
05422000,426239
05458500,522980
05481950,275929
06904010,92050
06600000,361015
06600500,397674
05458000,509679
05465700,368142
06807410,216572
05387440,503998
06819185,78279
06608500,278516
05479000,463834
06607200,326618
05387500,504030
05455500,197256
05487520,203851
06808500,216714
05387405,503963
05464500,367813
05473450,110818
05480500,378268
05458300,522951
05484800,217531
05482500,334449
05482315,313410
06602020,374994
06903880,92010
05465000,368052
05412020,434478
06600100,450755
05465500,368123
06483500,465030
05387320,503894
06609500,273761
05464315,367697
06903700,83159
06809900,157521
05422470,209558
06817000,98104
05454090,230973
05453100,318079
05454500,318225
06604200,484173
06605850,487052
06606600,487254
05418500,285449
05448400,451622
05454000,227265
05416900,368221
05476500,555675
05471200,258321
05481300,378371
05463500,323592
05488110,203920
05474000,273299
05421000,425876
05464695,277781
05412500,434514
05420680,425748
05472500,240462
05476750,555865
05449500,437890
06602298,338412
06809500,157405
05389400,431052
05483470,279585
05421740,426049
05451900,255051
05418110,360567
05464220,309414
05412340,399598
05469860,325461
06604000,503197
05484500,197446
05452200,245378
05488200,143605
05453000,230601
05485605,228998
05488500,203941
06903900,92010
05490500,204188
05452000,277520
05470000,313504
05476735,407487
05420460,544317
06809210,178160
05487470,162846
05489000,108201
06810000,157543
05482300,334282
05453520,318208
05482000,378559
06483290,553137
05463050,367567
05487980,132569
05484650,197506
